brandName,brandDescription,brandType
Alila,"Alila Branded Residences offer luxurious, sustainable living with modern design and exceptional amenities in exclusive locations.",Luxury Hotel and Resort Brands
Aman,Exclusive luxury residences offering Aman’s signature tranquility and elegance.,Luxury Hotel and Resort Brands
Anantara,Upscale residences blending Anantara’s cultural charm with modern luxury.,Luxury Hotel and Resort Brands
Ascott,"Sophisticated serviced homes by Ascott, merging convenience with world-class amenities.",Luxury Hotel and Resort Brands
Banyan Tree,Lush residences infused with Banyan Tree’s iconic spa-inspired luxury lifestyle.,Luxury Hotel and Resort Brands
Belmond,"Timeless and elegant residences by Belmond, set in iconic global destinations.",Luxury Hotel and Resort Brands
Capella,Exquisite residences delivering Capella’s signature hospitality and refined living.,Luxury Hotel and Resort Brands
Cheval Blanc,"Ultra-luxury homes by Cheval Blanc, defined by artistic design and exclusivity.",Luxury Hotel and Resort Brands
Cheval,"Premium serviced residences by Cheval, combining comfort, style, and functionality.",Luxury Hotel and Resort Brands
Club Quarters,"Practical urban residences by Club Quarters, offering convenience and efficiency.",Luxury Hotel and Resort Brands
Como,"Contemporary luxury residences by Como, crafted with bold design and serenity.",Luxury Hotel and Resort Brands
Conrad,"Elegant homes by Conrad, featuring modern sophistication and premium amenities.",Luxury Hotel and Resort Brands
DAMAC,"High-end residences by DAMAC, redefining opulence with bold architecture and design.",Luxury Hotel and Resort Brands
Discovery Land Company,"Exclusive residences by Discovery Land Company, tailored for private luxury communities.",Luxury Hotel and Resort Brands
Dorchester,Dorchester residences blending timeless British elegance with world-class service.,Luxury Hotel and Resort Brands
Edition,"Sophisticated homes by Edition, delivering modern design with curated experiences.",Luxury Hotel and Resort Brands
Emaar,"Luxurious residences by Emaar, combining iconic architecture with premium living spaces.",Luxury Hotel and Resort Brands
Equinox,"Wellness-focused residences by Equinox, designed for active and healthy lifestyles.",Luxury Hotel and Resort Brands
Fairmont,"Elegant residences by Fairmont, offering world-class service and luxury living.",Luxury Hotel and Resort Brands
Four Points,"Stylish residences by Four Points, designed for comfort and modern lifestyles.",Luxury Hotel and Resort Brands
Four Seasons,"Iconic homes by Four Seasons, blending timeless design with unparalleled service.",Luxury Hotel and Resort Brands
Grand Hyatt,"Luxurious urban residences by Grand Hyatt, tailored for contemporary sophistication.",Luxury Hotel and Resort Brands
Hard Rock,"Vibrant residences by Hard Rock, offering bold style and dynamic energy.",Luxury Hotel and Resort Brands
Hilton,"Refined residences by Hilton, combining comfort, convenience, and premium amenities.",Luxury Hotel and Resort Brands
Hyatt Centric,"Modern homes by Hyatt Centric, perfectly located for urban exploration and leisure.",Luxury Hotel and Resort Brands
InterContinental,"Exclusive residences by InterContinental, defined by elegance and exceptional hospitality.",Luxury Hotel and Resort Brands
Jumeirah Living,"Luxurious Jumeirah Living Residences, offering seamless service and iconic living spaces.",Luxury Hotel and Resort Brands
JW Marriott,"Sophisticated residences by JW Marriott, delivering world-class amenities and style.",Luxury Hotel and Resort Brands
Kempinski,"Exquisite residences by Kempinski, blending European elegance with modern luxury.",Luxury Hotel and Resort Brands
Kerzner International,"Ultra-premium homes by Kerzner, designed for bespoke luxury and exclusivity.",Luxury Hotel and Resort Brands
Mandarin Oriental,"Luxurious residences by Mandarin Oriental, combining timeless design with legendary service.",Luxury Hotel and Resort Brands
Marriott,"Upscale residences by Marriott, offering quality living with global standards.",Luxury Hotel and Resort Brands
ME by Meliá,"Contemporary residences by ME by Meliá, exuding bold design and vibrant energy.",Luxury Hotel and Resort Brands
Montage,"Exceptional residences by Montage, crafted for exclusivity and relaxed luxury.",Luxury Hotel and Resort Brands
Morgans Hotel,"Stylish residences by Morgans Hotel, offering a chic and contemporary lifestyle.",Luxury Hotel and Resort Brands
Mövenpick,"Inviting homes by Mövenpick, blending Swiss hospitality with modern comforts.",Luxury Hotel and Resort Brands
Nobu,"Luxury residences by Nobu, combining minimalist design with culinary excellence.",Luxury Hotel and Resort Brands
Oberoi,"Refined homes by Oberoi, delivering understated luxury and impeccable service.",Luxury Hotel and Resort Brands
One&Only Private Homes,"Exclusive private homes by One&Only, crafted for ultimate privacy and elegance.",Luxury Hotel and Resort Brands
One&Only,"Sophisticated residences by One&Only, blending iconic design with bespoke luxury.",Luxury Hotel and Resort Brands
Park Hyatt,"Elegant residences by Park Hyatt, featuring timeless design and premium service.",Luxury Hotel and Resort Brands
Peninsula,"Prestigious homes by Peninsula, offering exceptional craftsmanship and luxury living.",Luxury Hotel and Resort Brands
Radisson,"Modern residences by Radisson, combining functionality with contemporary style.",Luxury Hotel and Resort Brands
Raffles,"Iconic residences by Raffles, defined by timeless elegance and legendary service.",Luxury Hotel and Resort Brands
Regent,"Luxurious homes by Regent, blending global sophistication with bespoke hospitality.",Luxury Hotel and Resort Brands
Ritz-Carlton,"Exquisite residences by Ritz-Carlton, offering unmatched service and iconic living.",Luxury Hotel and Resort Brands
Rosewood,"Distinctive residences by Rosewood, merging heritage-inspired design with modern luxury.",Luxury Hotel and Resort Brands
Sandals,"Relaxed luxury homes by Sandals, crafted for ultimate beachside living experiences.",Luxury Hotel and Resort Brands
Shangri-La,"Serene residences by Shangri-La, blending Asian elegance with contemporary comforts.",Luxury Hotel and Resort Brands
Six Senses,"Sustainable luxury homes by Six Senses, promoting wellness and environmental harmony.",Luxury Hotel and Resort Brands
SOBHA,"Sophisticated homes by SOBHA, known for meticulous craftsmanship and premium living.",Luxury Hotel and Resort Brands
Sofitel,"Refined residences by Sofitel, offering French-inspired elegance and modern amenities.",Luxury Hotel and Resort Brands
Soneva,"Ultra-luxury homes by Soneva, designed for sustainable living and barefoot luxury.",Luxury Hotel and Resort Brands
St. Regis,Elegant residences that embody timeless luxury and sophistication.,Luxury Hotel and Resort Brands
Swissôtel,Swiss-inspired hospitality offering refined and sustainable living.,Luxury Hotel and Resort Brands
Taj,Residences reflecting the rich heritage of Indian hospitality and opulence.,Luxury Hotel and Resort Brands
The Chedi,A fusion of contemporary luxury and Asian-inspired design aesthetics.,Luxury Hotel and Resort Brands
The Langham,Classic British charm meets modern luxury in urban sanctuaries.,Luxury Hotel and Resort Brands
Viceroy,"Chic and stylish residences designed for modern, luxurious living.",Luxury Hotel and Resort Brands
W,Vibrant and dynamic residences inspired by the energy of the W brand.,Luxury Hotel and Resort Brands
Waldorf Astoria,Iconic residences offering unmatched elegance and bespoke services.,Luxury Hotel and Resort Brands
Wyndham,Affordable luxury living with a focus on comfort and convenience.,Luxury Hotel and Resort Brands
Aston Martin,Residences that blend cutting-edge design with automotive elegance.,Automotive Brands
Bentley,Exclusive oceanfront residences inspired by timeless Bentley craftsmanship.,Automotive Brands
Bugatti,"Residences exuding futuristic luxury and bold, innovative design.",Automotive Brands
Ferrari,Elegant homes crafted to reflect Ferrari’s legendary design ethos.,Automotive Brands
Lamborghini,Residences with bold architecture echoing Lamborghini’s dynamic spirit.,Automotive Brands
Mercedes-Benz,Residences blending luxury with the precision and elegance of Mercedes-Benz.,Automotive Brands
Porsche Design Tower,"Sophisticated residences reflecting Porsche’s sleek, innovative design.",Automotive Brands
Accor,A collection of branded residences redefining global luxury living.,Fashion and Lifestyle Brands
Armani,Sophisticated residences showcasing Armani’s minimalist elegance.,Fashion and Lifestyle Brands
Baccarat,Luxurious residences reflecting the timeless artistry of Baccarat crystal.,Fashion and Lifestyle Brands
Bvlgari,Residences inspired by Bvlgari’s iconic craftsmanship and Italian heritage.,Fashion and Lifestyle Brands
Cavalli,Residences infused with bold and glamorous Cavalli design elements.,Fashion and Lifestyle Brands
Diesel Living,Unique residences blending Diesel’s edgy style with urban living.,Fashion and Lifestyle Brands
Dorchester Collection,Ultra-luxury residences offering the signature elegance of Dorchester.,Fashion and Lifestyle Brands
Elie Saab,Exquisite residences that embody Elie Saab’s haute couture aesthetics.,Fashion and Lifestyle Brands
Fendi,Residences that merge Fendi’s bold design with Italian luxury.,Fashion and Lifestyle Brands
Giorgio Armani,Iconic residences reflecting Giorgio Armani’s refined lifestyle philosophy.,Fashion and Lifestyle Brands
Hermès,Residences exuding the timeless luxury of Hermès craftsmanship.,Fashion and Lifestyle Brands
Karl Lagerfeld,Residences inspired by Karl Lagerfeld’s avant-garde and visionary style.,Fashion and Lifestyle Brands
Kenzo,Residences showcasing Kenzo’s eclectic and artistic design flair.,Fashion and Lifestyle Brands
LVMH,Residences crafted with LVMH’s unparalleled luxury and exclusivity.,Fashion and Lifestyle Brands
Missoni,"Residences with vibrant, colorful designs inspired by Missoni’s style.",Fashion and Lifestyle Brands
Palazzo Versace,Opulent residences that echo the grandeur of Palazzo Versace.,Fashion and Lifestyle Brands
Paramount,Residences combining Hollywood glamour with Paramount’s iconic legacy.,Fashion and Lifestyle Brands
Ralph Lauren,Elegant residences inspired by Ralph Lauren’s timeless American style.,Fashion and Lifestyle Brands
Roberto Cavalli,Residences showcasing Roberto Cavalli's bold and extravagant designs.,Fashion and Lifestyle Brands
SLS,Stylish residences combining SLS's vibrant lifestyle with luxury comfort.,Fashion and Lifestyle Brands
Tommy Hilfiger,Residences inspired by Tommy Hilfiger’s signature all-American style.,Fashion and Lifestyle Brands
Trump,Residences reflecting the grandeur and prestige of the Trump brand.,Fashion and Lifestyle Brands
Versace,Elegant residences infused with Versace’s iconic and opulent designs.,Fashion and Lifestyle Brands
Yoo by Philippe Starck,Residences that blend Philippe Starck's visionary designs with modern living.,Fashion and Lifestyle Brands
Yoo,"Contemporary residences crafted by Yoo, redefining urban luxury.",Fashion and Lifestyle Brands
Cipriani,"Residences with vibrant, colorful designs inspired by Cipriani’s style.",Luxury Hotel and Resort Brands
Riva,"Contemporary residences crafted by Yoo, redefining urban luxury.",Luxury Hotel and Resort Brands
